Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"UK","South","F","14","R","193","26","190","1","Bus","27","0.45","35","Swimming","1000","1000","1000","1000","1000","1000",
"NZ","Otago","M","14","R","181","31","181","1","Bus","45","0","0","Rugby Union","250","","0","","","",
"NZ","Auckland","F","13","R","147","24","150","1","Car","15","0.491","0","Football/Soccer","250","","500","","","",
"CA","British Columbia","F","14","R","165","23","152","2","Walk","5","0.765","57","Basketball","914","1000","674","588","75","460",
"USA","TX","F","11","R","156","20","145","1","Car","3","0","63","Other","100","200","80","50","40","412",
"CA","Ontario","M","12","R","128","21","128","3","Car","15","0.541","41","Dancing","1000","1000","1000","1000","1000","1000",
"USA","NC","M","16","R","186","27","184","1","Car","7","0.3","50","Football (American)","800","300","1000","1000","1000","1000",
"CA","Ontario","F","18","R","161","20","170","1","Bus","30","0.341","57","Swimming","781","503","241","877","936","316",
"OZ","Tasmania","F","15","R","159","21","156","1","Bus","20","0.29","27","Basketball","515","498","515","533","515","716",
"CA","Ontario","M","9","R","156","28","167","6","Bus","40","0.468","60","Hockey (Ice)","487","412","326","401","807","1000",
"USA","GA","M","12","R","154","25","164","2","Bus","10","0","0","Athletics","300","200","300","600","900","",
"UK","South West","F","12","L","152","22","151","3","Car","15","0.45","33","Bowling","0","0","161","129","419","0",
"UK","South West","M","13","R","169","24","169","1","Car","2","0","46","Football/Soccer","194","194","0","0","1000","581",
"NZ","Nelson","M","11","R","190","40","80","3","Walk","25","0.641","0","Rugby Union","0","","0","","","",
"CA","Ontario","M","11","L","153","26","157","1","Car","10","0.438","78","Baseball/Softball","150","150","112","86","631","636",
"NZ","Otago","F","11","R","144","23","170","1","Walk","15","0.578","0","Dancing","750","","750","","","",
"CA","Ontario","F","18","R","163","22","167","1","Car","15","0.375","51","Rugby League","540","460","465","631","48","166",
"NZ","Northland","F","12","R","154","24","157","3","Bus","5","0.359","0","Hockey (Field)","750","","500","","","",
"CA","Ontario","F","11","R","141","22","141","2","Bus","25","0.344","39","Football/Soccer","898","824","652","888","1000","1000",
"OZ","Queensland","M","12","R","159","26","159","2","Boat","62","0.46","55","Football/Soccer","161","101","91","11","101","71",
"OZ","Queensland","M","14","R","180","27","190","1","Car","10","0.34","39","Basketball","90","60","101","515","1000","249",
"CA","British Columbia","F","12","R","155","22","151","2","Cycle","20","0.343","33","Other activities/sports","1000","1000","1000","1000","503","497",
"OZ","Victoria","F","10","R","153","23","153","1","Walk","7","0.54","66","Other activities/sports","1000","574","693","1000","78","243",
"UK","North West","M","13","R","152","24","162","2","Bus","30","0.75","29","Football/Soccer","1000","1000","803","866","0","0",
"USA","NC","M","11","R","149","24","127","1","Boat","25","0.27","52","Basketball","100","100","500","100","52","",
"OZ","New South Wales","M","13","L","174","29","180","1","Rail","20","0.31","31","Basketball","574","580","243","427","1000","1000",
"NZ","Canterbury","F","14","R","170","23","166","1","Walk","25","0.578","0","Netball","750","","1000","","","",
"USA","FL","M","16","R","173","27","175","2","Car","25","0.451","48","Basketball","500","250","250","200","200","900",
"CA","Nova Scotia","M","17","R","169","25","153","1","Walk","20","0.25","31","Walking/Hiking","444","353","358","909","492","1000",
"CA","Ontario","F","13","R","153","23","160","3","Walk","10","0.351","42","Football/Soccer","1000","1000","1000","1000","16","214",
"NZ","Auckland","M","13","R","170","23","170","3","Cycle","15","0.328","0","Football/Soccer","750","","500","","","",
"USA","GA","M","14","R","163","26","170","1","Bus","15","0.332","43","Football (American)","652","813","561","845","513","620",
"CA","British Columbia","F","12","R","154","25","152","2","Walk","15","0.689","36","Athletics","1000","1000","1000","1000","856","856",
"CA","Saskatchewan","M","11","R","145","23","143","1","Cycle","5","0.328","36","Hockey (Ice)","1000","1000","1000","1000","1000","1000",
"CA","Nova Scotia","F","14","R","168","25","164","1","Bus","30","0.426","29","Football/Soccer","1000","1000","1000","1000","1000","1000",
"OZ","Victoria","F","10","R","151","24","136","2","Car","1","0.45","56","Netball","823","421","829","178","","",
"CA","Ontario","F","18","R","173","25","171","1","Car","17","0.531","33","Hockey (Ice)","610","717","631","727","342","529",
"UK","East","F","13","R","163","23","163","1","Bus","10","0.42","50","Dancing","953","772","548","691","953","951",
